period,ratio
2025-02-13,70.18469
2025-02-14,67.28232
2025-02-15,60.94986
2025-02-16,56.46437
2025-02-17,87.33509
2025-02-18,73.61477
2025-02-19,79.41952
2025-02-20,78.36411
2025-02-21,62.53298
2025-02-22,74.67018
2025-02-23,81.53034
2025-02-24,81.79419
2025-02-25,73.61477
2025-02-26,98.15303
2025-02-27,81.53034
2025-02-28,63.06068
2025-03-01,62.53298
2025-03-02,48.54881
2025-03-03,50.13192
2025-03-04,65.43535
2025-03-05,86.80738
2025-03-06,92.08443
2025-03-07,95.51451
2025-03-08,77.3087
2025-03-09,83.11345
2025-03-10,95.51451
2025-03-11,88.9182
2025-03-12,96.04221
2025-03-13,62.53298
2025-03-14,89.18205
2025-03-15,83.11345
2025-03-16,83.3773
2025-03-17,85.22427
2025-03-18,73.35092
2025-03-19,80.47493
2025-03-20,74.67018
2025-03-21,64.11609
2025-03-22,79.68337
2025-03-23,70.18469
2025-03-24,64.11609
2025-03-25,66.75461
2025-03-26,69.65699
2025-03-27,71.50395
2025-03-28,81.00263
2025-03-29,60.68601
2025-03-30,52.24274
2025-03-31,72.55936
2025-04-01,82.8496
2025-04-02,72.55936
2025-04-03,83.3773
2025-04-04,74.93403
2025-04-05,73.08707
2025-04-06,80.47493
2025-04-07,100.0
2025-04-08,91.82058
2025-04-09,75.98944
2025-04-10,70.7124
2025-04-11,49.60422
2025-04-12,73.87862
2025-04-13,61.47757
2025-04-14,86.80738
2025-04-15,68.07387
2025-04-16,81.26649
2025-04-17,54.88126
2025-04-18,66.49076
2025-04-19,68.60158
2025-04-20,57.78364
2025-04-21,74.93403
2025-04-22,95.51451
2025-04-23,70.7124
2025-04-24,54.61741
2025-04-25,63.58839
2025-04-26,47.4934
2025-04-27,40.36939
2025-04-28,58.83905
2025-04-29,56.99208
2025-04-30,43.27176
2025-05-01,48.28496
2025-05-02,57.78364
2025-05-03,45.91029
2025-05-04,42.48021
2025-05-05,37.46701
2025-05-06,39.57783
2025-05-07,41.4248
2025-05-08,59.6306
2025-05-09,57.51978
2025-05-10,52.77044
2025-05-11,56.20052
2025-05-12,83.11345
2025-05-13,65.6992
2025-05-14,62.79683
2025-05-15,68.07387
2025-05-16,68.33773
2025-05-17,55.93667
2025-05-18,57.25593
2025-05-19,47.22955
2025-05-20,60.42216
2025-05-21,51.45118
2025-05-22,54.61741
2025-05-23,44.85488
2025-05-24,72.55936
2025-05-25,52.24274
2025-05-26,54.35356
2025-05-27,52.50659
2025-05-28,49.86807
2025-05-29,40.63324
2025-05-30,50.92348
2025-05-31,40.36939
2025-06-01,47.4934
2025-06-02,51.18733
2025-06-03,39.57783
2025-06-04,66.49076
2025-06-05,41.68865
2025-06-06,49.07651
2025-06-07,42.74406
2025-06-08,43.79947
2025-06-09,64.64379
2025-06-10,67.28232
