period,ratio
2025-02-13,31.11111
2025-02-14,33.33333
2025-02-15,26.66666
2025-02-16,37.77777
2025-02-17,17.77777
2025-02-18,22.22222
2025-02-19,20.0
2025-02-20,24.44444
2025-02-21,24.44444
2025-02-22,20.0
2025-02-23,26.66666
2025-02-24,22.22222
2025-02-25,28.88888
2025-02-26,28.88888
2025-02-27,28.88888
2025-02-28,17.77777
2025-03-01,35.55555
2025-03-02,26.66666
2025-03-03,17.77777
2025-03-04,8.88888
2025-03-05,64.44444
2025-03-06,22.22222
2025-03-07,42.22222
2025-03-08,17.77777
2025-03-09,35.55555
2025-03-10,15.55555
2025-03-11,31.11111
2025-03-12,22.22222
2025-03-13,24.44444
2025-03-14,40.0
2025-03-15,26.66666
2025-03-16,44.44444
2025-03-17,22.22222
2025-03-18,17.77777
2025-03-19,17.77777
2025-03-20,17.77777
2025-03-21,24.44444
2025-03-22,53.33333
2025-03-23,31.11111
2025-03-24,28.88888
2025-03-25,33.33333
2025-03-26,24.44444
2025-03-27,40.0
2025-03-28,24.44444
2025-03-29,31.11111
2025-03-30,44.44444
2025-03-31,57.77777
2025-04-01,46.66666
2025-04-02,33.33333
2025-04-03,64.44444
2025-04-04,33.33333
2025-04-05,73.33333
2025-04-06,31.11111
2025-04-07,55.55555
2025-04-08,22.22222
2025-04-09,62.22222
2025-04-10,55.55555
2025-04-11,26.66666
2025-04-12,15.55555
2025-04-13,20.0
2025-04-14,15.55555
2025-04-15,28.88888
2025-04-16,15.55555
2025-04-17,17.77777
2025-04-18,37.77777
2025-04-19,48.88888
2025-04-20,20.0
2025-04-21,62.22222
2025-04-22,40.0
2025-04-23,26.66666
2025-04-24,46.66666
2025-04-25,11.11111
2025-04-26,62.22222
2025-04-27,46.66666
2025-04-28,31.11111
2025-04-29,17.77777
2025-04-30,15.55555
2025-05-01,11.11111
2025-05-02,51.11111
2025-05-03,31.11111
2025-05-04,17.77777
2025-05-05,31.11111
2025-05-06,11.11111
2025-05-07,40.0
2025-05-08,33.33333
2025-05-09,31.11111
2025-05-10,37.77777
2025-05-11,24.44444
2025-05-12,46.66666
2025-05-13,28.88888
2025-05-14,40.0
2025-05-15,48.88888
2025-05-16,20.0
2025-05-17,22.22222
2025-05-18,33.33333
2025-05-19,40.0
2025-05-20,26.66666
2025-05-21,28.88888
2025-05-22,24.44444
2025-05-23,35.55555
2025-05-24,55.55555
2025-05-25,53.33333
2025-05-26,68.88888
2025-05-27,20.0
2025-05-28,11.11111
2025-05-29,42.22222
2025-05-30,17.77777
2025-05-31,26.66666
2025-06-01,15.55555
2025-06-02,17.77777
2025-06-03,6.66666
2025-06-04,42.22222
2025-06-05,100.0
2025-06-06,24.44444
2025-06-07,55.55555
2025-06-08,15.55555
2025-06-09,20.0
2025-06-10,28.88888
2025-06-11,6.66666
2025-06-12,37.77777
2025-06-13,33.33333
2025-06-14,31.11111
2025-06-15,24.44444
2025-06-16,28.88888
2025-06-17,66.66666
2025-06-18,13.33333
2025-06-19,31.11111
2025-06-20,13.33333
2025-06-21,31.11111
2025-06-22,37.77777
2025-06-23,44.44444
2025-06-24,24.44444
2025-06-25,48.88888
2025-06-26,13.33333
2025-06-27,11.11111
2025-06-28,48.88888
2025-06-29,26.66666
2025-06-30,37.77777
2025-07-01,20.0
2025-07-02,8.88888
2025-07-03,13.33333
2025-07-04,20.0
2025-07-05,40.0
2025-07-07,40.0
2025-07-08,28.88888
2025-07-09,15.55555
2025-07-10,17.77777
2025-07-11,11.11111
2025-07-12,24.44444
2025-07-13,20.0
2025-07-14,6.66666
2025-07-15,22.22222
2025-07-16,37.77777
2025-07-17,2.22222
2025-07-18,13.33333
2025-07-19,15.55555
2025-07-20,13.33333
2025-07-21,24.44444
2025-07-22,24.44444
2025-07-23,8.88888
2025-07-24,13.33333
2025-07-25,11.11111
2025-07-26,26.66666
2025-07-27,11.11111
2025-07-28,20.0
2025-07-29,28.88888
2025-07-30,15.55555
2025-07-31,11.11111
2025-08-01,13.33333
2025-08-02,11.11111
2025-08-03,17.77777
2025-08-04,15.55555
2025-08-05,15.55555
2025-08-06,8.88888
2025-08-07,13.33333
2025-08-08,48.88888
2025-08-09,8.88888
2025-08-10,13.33333
2025-08-11,22.22222
2025-08-12,11.11111
2025-08-13,15.55555
2025-08-14,22.22222
2025-08-15,22.22222
2025-08-16,6.66666
2025-08-17,26.66666
2025-08-18,24.44444
2025-08-19,6.66666
2025-08-20,35.55555
2025-08-21,42.22222
2025-08-22,15.55555
2025-08-23,20.0
2025-08-24,15.55555
2025-08-26,17.77777
2025-08-27,37.77777
2025-08-28,8.88888
2025-08-29,33.33333
2025-08-30,11.11111
2025-08-31,24.44444
2025-09-01,17.77777
2025-09-02,35.55555
2025-09-03,15.55555
2025-09-04,20.0
2025-09-05,13.33333
2025-09-06,15.55555
2025-09-07,37.77777
2025-09-08,73.33333
2025-09-09,4.44444
2025-09-10,51.11111
2025-09-11,35.55555
2025-09-12,42.22222
2025-09-13,13.33333
2025-09-14,20.0
2025-09-15,31.11111
2025-09-16,64.44444
2025-09-17,24.44444
2025-09-18,22.22222
2025-09-19,24.44444
2025-09-20,13.33333
2025-09-21,11.11111
2025-09-22,13.33333
2025-09-23,22.22222
2025-09-24,28.88888
2025-09-25,42.22222
2025-09-26,20.0
2025-09-27,37.77777
2025-09-28,13.33333
2025-09-29,31.11111
2025-09-30,17.77777
2025-10-01,15.55555
2025-10-02,13.33333
2025-10-03,22.22222
2025-10-04,15.55555
2025-10-05,6.66666
2025-10-06,24.44444
2025-10-07,4.44444
2025-10-08,8.88888
2025-10-09,15.55555
2025-10-10,24.44444
2025-10-11,13.33333
2025-10-12,26.66666
2025-10-13,11.11111
2025-10-14,13.33333
2025-10-15,13.33333
2025-10-16,17.77777
2025-10-17,31.11111
2025-10-18,8.88888
2025-10-19,17.77777
2025-10-20,15.55555
2025-10-21,8.88888
2025-10-22,17.77777
2025-10-23,46.66666
2025-10-24,22.22222
2025-10-25,31.11111
2025-10-26,31.11111
2025-10-27,37.77777
2025-10-28,26.66666
2025-10-29,26.66666
2025-10-30,13.33333
2025-10-31,4.44444
2025-11-01,8.88888
2025-11-02,22.22222
2025-11-03,8.88888
2025-11-04,17.77777
2025-11-05,17.77777
2025-11-06,2.22222
2025-11-07,13.33333
2025-11-08,13.33333
2025-11-09,6.66666
2025-11-10,26.66666
2025-11-11,11.11111
2025-11-12,31.11111
2025-11-13,13.33333
2025-11-14,20.0
2025-11-15,4.44444
2025-11-16,8.88888
2025-11-17,8.88888
2025-11-18,22.22222
2025-11-19,31.11111
2025-11-20,17.77777
2025-11-21,20.0
2025-11-22,6.66666
2025-11-23,13.33333
2025-11-24,22.22222
2025-11-25,15.55555
2025-11-26,35.55555
2025-11-27,11.11111
2025-11-28,20.0
2025-11-29,17.77777
2025-11-30,57.77777
2025-12-01,22.22222
2025-12-02,55.55555
2025-12-03,8.88888
2025-12-04,17.77777
2025-12-05,6.66666
2025-12-06,17.77777
2025-12-07,6.66666
2025-12-08,15.55555
2025-12-09,15.55555
2025-12-10,15.55555
2025-12-12,28.88888
2025-12-13,40.0
2025-12-14,17.77777
2025-12-15,40.0
2025-12-16,13.33333
2025-12-17,15.55555
2025-12-18,15.55555
2025-12-19,15.55555
2025-12-20,13.33333
2025-12-21,17.77777
2025-12-22,13.33333
2025-12-23,33.33333
2025-12-24,6.66666
2025-12-25,40.0
2025-12-26,8.88888
2025-12-27,11.11111
2025-12-28,15.55555
2025-12-29,11.11111
2025-12-30,40.0
2025-12-31,31.11111
2026-01-01,6.66666
2026-01-02,6.66666
